type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd
buy,0.01,0.01,XAUUSD,4631.762,4636.827,4630.673,4646.378,-0.11,0,5.07,user,2026-01-14 12:53:24.348,2026-01-14 12:59:48.199
buy,0.01,0.01,XAUUSD,4635.448,4632.662,4632.662,4641.43,-0.11,0,-2.79,sl,2026-01-14 13:00:06.814,2026-01-14 13:06:49.667
buy,0.01,0.01,XAUUSD,4633.4,4632.205,4632.205,4639.293,-0.11,0,-1.19,sl,2026-01-14 13:10:38.063,2026-01-14 13:11:30.119
buy,0.01,0.01,XAUUSD,4633.336,4638.387,4634.248,4641.529,-0.11,0,5.05,user,2026-01-14 13:13:06.159,2026-01-14 13:28:22.496
buy,0.01,0.01,XAUUSD,4635.672,4633.271,4633.271,4641.56,-0.11,0,-2.4,sl,2026-01-14 13:30:53.771,2026-01-14 13:55:36.270
buy,0.01,0.01,BTCUSD,95174.14,95235.29,95142.48,,-0.16,0,0.61,user,2026-01-14 14:20:21.055,2026-01-14 14:20:49.411
buy,0.01,0.01,XAUUSD,4624.8,4623.599,4623.599,,-0.11,0,-1.2,sl,2026-01-14 14:25:33.851,2026-01-14 14:26:01.692
buy,0.01,0.01,XAUUSD,4624.776,4622.857,4622.857,,-0.11,0,-1.92,sl,2026-01-14 14:26:16.737,2026-01-14 14:27:25.350
buy,0.01,0.01,XAUUSD,4623.414,4622.14,4622.14,,-0.11,0,-1.27,sl,2026-01-14 14:28:22.610,2026-01-14 14:28:34.410
buy,0.01,0.01,XAUUSD,4625.487,4627.1410000000005,4625.027,4632.844,-0.11,0,1.65,user,2026-01-14 14:29:16.608,2026-01-14 14:33:50.710
buy,0.01,0.01,BTCUSD,95260.22,94987.69,94993.45,96901.04,-0.16,0,-2.72,sl,2026-01-14 14:03:36.166,2026-01-14 14:38:00.264
buy,0.01,0.01,XAUUSD,4629.611,4635.0,4628.556,4637.318,-0.11,0,5.39,user,2026-01-14 14:36:45.362,2026-01-14 14:46:28.227
buy,0.01,0.01,XAUUSD,4636.569,4638.659,4636.102,4641.197,-0.11,0,2.09,user,2026-01-14 15:11:04.907,2026-01-14 15:14:42.723
buy,0.01,0.01,XAUUSD,4631.551,4629.229,4629.602,4639.586,-0.11,0,-2.32,sl,2026-01-14 16:06:55.365,2026-01-14 16:08:42.478
buy,0.01,0.01,XAUUSD,4630.58,4637.003,4635.016,4638.889,-0.11,0,6.42,user,2026-01-14 16:12:41.538,2026-01-14 16:43:29.590
buy,0.01,0.01,XAUUSD,4634.551,4634.905,4634.905,4638.979,-0.11,0,0.36,sl,2026-01-14 17:09:02.307,2026-01-14 17:18:24.296
