ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1948383762,2026-01-19T02:35:05.040000,2026-01-19T02:35:16.165000,buy,0.01,0.01,XAUUSD,4660.266,4659.416,,,-0.11,0,-0.85,,,user
1948381365,2026-01-19T02:33:27.841000,2026-01-19T02:33:56.002000,buy,0.01,0.01,XAUUSD,4661.416,4659.701,4659.94,,-0.11,0,-1.72,,,sl
1948377231,2026-01-19T02:31:02.917000,2026-01-19T02:31:38.638000,buy,0.01,0.01,XAUUSD,4660.698,4662.649,,,-0.11,0,1.95,,,user
1948375170,2026-01-19T02:30:09.842000,2026-01-19T02:30:29.698000,buy,0.01,0.01,XAUUSD,4660.85,4662.993,,,-0.11,0,2.14,,,user
1948351419,2026-01-19T02:12:51.563000,2026-01-19T02:30:04.167000,sell,0.01,0.1,XAUUSD,4659.957,4660.477,4662.604,4655.1,-1.1,0,-0.52,,,user
1948365856,2026-01-19T02:22:46.997000,2026-01-19T02:23:55.118000,sell,0.05,0.1,XAUUSD,4659.502,4657.589,4660.807,4656.74,-1.1,0,9.56,,,user
1948365856,2026-01-19T02:22:46.997000,2026-01-19T02:23:45.013000,sell,0.05,0.1,XAUUSD,4659.502,4658.185,4660.807,4656.74,,0,6.58,,,user
1948351419,2026-01-19T02:12:51.563000,2026-01-19T02:18:23.785000,sell,0.01,0.1,XAUUSD,4659.957,4661.682,4662.604,4655.1,,0,-1.72,,,user
1948351419,2026-01-19T02:12:51.563000,2026-01-19T02:16:34.358000,sell,0.01,0.1,XAUUSD,4659.957,4661.262,4662.604,4655.1,,0,-1.3,,,user
1948351419,2026-01-19T02:12:51.563000,2026-01-19T02:14:38.411000,sell,0.02,0.1,XAUUSD,4659.957,4660.869,4662.604,4655.1,,0,-1.83,,,user
1948351419,2026-01-19T02:12:51.563000,2026-01-19T02:14:03.296000,sell,0.05,0.1,XAUUSD,4659.957,4660.2210000000005,4662.604,4655.1,,0,-1.32,,,user
1948352187,2026-01-19T02:13:18.256000,2026-01-19T02:13:27.960000,sell,0.1,0.1,XAUUSD,4662.156,4660.866,4663.596,,-1.1,0,12.9,,,user
